"nick_name","ip_address","study_starttime","prolific_id","age","gender","academic_study","computer_mouse","recruitment","participant_id","parm_id","plot_id","x","yols","ypca","ydrawn","yloess","residual_ols_drawn","residual_ols_loess","residual_pca_drawn","residual_pca_loess"
"226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","7a7cd3ef6b350fb1e1132ce1c532b6ce",4,-8.07307056372393,-8.16559322312629,-6.70404505035588,-7.3851105929936,1.36902551336805,0.687959970730331,1.46154817277041,0.78048263013269
"226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","7a7cd3ef6b350fb1e1132ce1c532b6ce",4.25,-7.57249628081594,-7.66116917868245,-6.57372571098801,-6.93455807060489,0.998770569827929,0.63793821021105,1.08744346769444,0.726611108077558
"226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","7a7cd3ef6b350fb1e1132ce1c532b6ce",4.5,-7.07192199790795,-7.1567451342386,-6.31308703225226,-6.47730727322759,0.758834965655689,0.594614724680355,0.843658101986343,0.679437861011008
"226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","7a7cd3ef6b350fb1e1132ce1c532b6ce",4.75,-6.57134771499996,-6.65232108979476,-6.11760802320045,-6.01295081831937,0.453739691799505,0.558396896680581,0.534713066594307,0.639370271475382
"226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","7a7cd3ef6b350fb1e1132ce1c532b6ce",5,-6.07077343209196,-6.14789704535091,-5.72665000509683,-5.5410813233379,0.344123426995136,0.529692108754064,0.421247040254086,0.606815722013014
"226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","7a7cd3ef6b350fb1e1132ce1c532b6ce",5.25,-5.57019914918397,-5.64347300090706,-5.40085165667714,-5.06129140574082,0.169347492506827,0.508907743443151,0.242621344229924,0.582181595166249
"226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","7a7cd3ef6b350fb1e1132ce1c532b6ce",5.5,-5.06962486627597,-5.13904895646322,-5.14021297794139,-4.5731736829858,-0.0705881116654137,0.496451183290179,-0.00116402147816785,0.565875273477425
"226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","7a7cd3ef6b350fb1e1132ce1c532b6ce",5.75,-4.56905058336798,-4.63462491201937,-4.68409529015383,-4.07562353076564,-0.115044706785845,0.49342705260234,-0.049470378134453,0.559001381253732
"226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","7a7cd3ef6b350fb1e1132ce1c532b6ce",6,-4.06847630045999,-4.13020086757553,-4.16281793268233,-3.56893667293152,-0.094341632222342,0.49953962752847,-0.0326170651068036,0.561264194644009
"226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","7a7cd3ef6b350fb1e1132ce1c532b6ce",6.25,-3.56790201755199,-3.62577682313168,-3.51122123584296,-3.05480624917862,0.0566807817090371,0.513095768373375,0.114555587288724,0.570970573953062
