"","nick_name","ip_address","study_starttime","prolific_id","age","gender","academic_study","computer_mouse","recruitment","participant_id","parm_id","data_id","dataset","x","y"
"1","226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",NA,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","ba2b807e48d1529a5606aa27300431b4","point_data",4.07703228338342,-7.94992846742444
"2","226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",NA,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","ba2b807e48d1529a5606aa27300431b4","point_data",4.34654462793858,-5.77466545955896
"3","226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",NA,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","ba2b807e48d1529a5606aa27300431b4","point_data",4.8440058671677,-5.35647712844141
"4","226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",NA,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","ba2b807e48d1529a5606aa27300431b4","point_data",5.27629087231263,-7.33951448232325
"5","226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",NA,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","ba2b807e48d1529a5606aa27300431b4","point_data",5.67548227758025,-3.32013993222337
"6","226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",NA,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","ba2b807e48d1529a5606aa27300431b4","point_data",6.05735709157573,-5.28117530571523
"7","226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",NA,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","ba2b807e48d1529a5606aa27300431b4","point_data",6.50793003943845,-0.613387320688885
"8","226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",NA,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","ba2b807e48d1529a5606aa27300431b4","point_data",6.85330976986718,-0.284505215707055
"9","226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",NA,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","ba2b807e48d1529a5606aa27300431b4","point_data",7.3448568057617,-1.77004025323395
"10","226c25034a5d24e860c59ce331cba504","",1646335187.28872,"trail","26-30","Female","Graduate Degree",NA,"I am the researcher","d4bf26a0ec10f1a69c55338a25df4557","V","ba2b807e48d1529a5606aa27300431b4","point_data",7.74089317031722,-0.755172965805242
