"param_id","param_value","set","test_param","order","pic_id","sample_size","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial","rorschach"
2,"target-E-Lv_null-H-Lv_r0",1,"log",1,10,50,1,15,"plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg","emily-log-1",203,"d14de6e8946c29750256921ce0462931",0,"0"
1,"target-E-Lv_null-M-Lv_r0",1,"linear",2,5,50,1,12,"plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg","emily-log-1",102,"87f34b01f1fce217b6c33e04da081ed0",0,"0"
2,"target-M-Lv_null-M-Lv_r1",1,"linear",3,17,50,1,13,"plots/svg/820438d18efea32daec169de0273d756.svg","emily-log-1",105,"8012cc5c1e8c712893cc2a9a040c11b1",0,"1"
3,"target-M-Lv_null-E-Lv_r0",2,"linear",4,15,50,1,10,"plots/svg/d8dea45d5c5b31523324bc29de32411f.svg","emily-log-1",104,"7ff3391e264e98652cdb6eb8b85088c4",0,"0"
5,"target-H-Lv_null-E-Lv_r0",1,"log",5,26,50,1,1,"plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg","emily-log-1",207,"d5c6dd039c67d2cb6771b22aa1c6aaac",0,"0"
4,"target-M-Lv_null-H-Lv_r0",2,"linear",6,23,50,1,13,"plots/svg/a22fa470f1028ba1fa6fc5d121887a46.svg","emily-log-1",106,"184b9f1a90081e0ffeedc112c6431d9c",0,"0"
5,"target-H-Lv_null-E-Lv_r0",1,"linear",7,25,50,1,1,"plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg","emily-log-1",107,"d5c6dd039c67d2cb6771b22aa1c6aaac",0,"0"
6,"target-H-Lv_null-M-Lv_r0",1,"log",8,30,50,1,12,"plots/svg/e2e1ff57be869422245fc51b15415492.svg","emily-log-1",208,"f28e70dc6b7365974b49d253cdd85363",0,"0"
3,"target-M-Lv_null-E-Lv_r0",2,"log",9,16,50,1,10,"plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg","emily-log-1",204,"7ff3391e264e98652cdb6eb8b85088c4",0,"0"
2,"target-E-Lv_null-H-Lv_r0",1,"linear",10,9,50,1,15,"plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg","emily-log-1",103,"d14de6e8946c29750256921ce0462931",0,"0"
4,"target-M-Lv_null-H-Lv_r0",2,"log",11,24,50,1,13,"plots/svg/5e448cd61317e5499aee6d7ea7906c64.svg","emily-log-1",206,"184b9f1a90081e0ffeedc112c6431d9c",0,"0"
1,"target-E-Lv_null-M-Lv_r0",1,"log",12,6,50,1,12,"plots/svg/5ecce62e937c1598e901631b3a1821d2.svg","emily-log-1",202,"87f34b01f1fce217b6c33e04da081ed0",0,"0"
6,"target-H-Lv_null-M-Lv_r0",1,"linear",13,29,50,1,12,"plots/svg/abd7b714d3c960b93247a0a3e0308473.svg","emily-log-1",108,"f28e70dc6b7365974b49d253cdd85363",0,"0"
