param_id,param_value,set,test_param,order,pic_id,sample_size,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,rorschach
1,target-E-Lv_null-M-Lv_r0,2,linear,1,7,50,1,14,plots/svg/19458f4a249031b8179c02b343dffe30.svg,emily-log-1,102,e079c7c97296f2c777bede60f7d1c5b7,0,0
5,target-H-Lv_null-E-Lv_r0,1,linear,2,25,50,1,1,plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg,emily-log-1,107,d5c6dd039c67d2cb6771b22aa1c6aaac,0,0
3,target-M-Lv_null-E-Lv_r0,1,log,3,14,50,1,10,plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg,emily-log-1,204,8ad2ea6719790c191cedf1038d3cbca5,0,0
3,target-M-Lv_null-E-Lv_r0,1,linear,4,13,50,1,10,plots/svg/5df2947852318075a066e55984da5020.svg,emily-log-1,104,8ad2ea6719790c191cedf1038d3cbca5,0,0
4,target-M-Lv_null-H-Lv_r0,1,linear,5,21,50,1,1,plots/svg/20d0abf28998f59ada75cce6b4999158.svg,emily-log-1,106,3d689aa117d70559b73fe8398f1a44c6,0,0
2,target-M-Lv_null-M-Lv_r1,1,log,6,18,50,1,13,plots/svg/1ec5254497cf832302fe84e8cc60d25d.svg,emily-log-1,205,8012cc5c1e8c712893cc2a9a040c11b1,0,1
4,target-M-Lv_null-H-Lv_r0,1,log,7,22,50,1,1,plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg,emily-log-1,206,3d689aa117d70559b73fe8398f1a44c6,0,0
5,target-H-Lv_null-E-Lv_r0,1,log,8,26,50,1,1,plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg,emily-log-1,207,d5c6dd039c67d2cb6771b22aa1c6aaac,0,0
6,target-H-Lv_null-M-Lv_r0,2,linear,9,31,50,1,12,plots/svg/e9510e025a1152c8bc78255bdc926f93.svg,emily-log-1,108,b79bc1a0fdbb69edc87fe34883a066d6,0,0
2,target-E-Lv_null-H-Lv_r0,1,log,10,10,50,1,15,plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg,emily-log-1,203,d14de6e8946c29750256921ce0462931,0,0
6,target-H-Lv_null-M-Lv_r0,2,log,11,32,50,1,12,plots/svg/39f08ba7613fc59a3b114a36a3a14244.svg,emily-log-1,208,b79bc1a0fdbb69edc87fe34883a066d6,0,0
2,target-E-Lv_null-H-Lv_r0,1,linear,12,9,50,1,15,plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg,emily-log-1,103,d14de6e8946c29750256921ce0462931,0,0
1,target-E-Lv_null-M-Lv_r0,2,log,13,8,50,1,14,plots/svg/ef16f06ed4708fcd12a6249492a1e12a.svg,emily-log-1,202,e079c7c97296f2c777bede60f7d1c5b7,0,0
